gid,gap,request,reason
100000005242320100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 8,94 млн ₸, а в выборке получил только 365 700 ₸"
100000000437046100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 7,61 млн ₸, а в выборке получил только 1,11 млн ₸"
100000004400305100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 5,83 млн ₸, а в выборке получил только 222 800 ₸"
100000008710791100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 5,52 млн ₸, а в выборке получил только 181 510 ₸"
100000002963189100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 5,22 млн ₸, а в выборке получил только 490 000 ₸"
100000008547948100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 5,19 млн ₸, а в выборке получил только 212 665 ₸"
100000008603629100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 4,99 млн ₸, а в выборке получил только 1,82 млн ₸"
100000003835149100,источник средств вне выборки,Запросить входящие переводы за июль 2026,"отправил 4,60 млн ₸, а в выборке получил только 248 500 ₸"
100000004892144100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 4,50 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000006274203100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 3,42 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000000594783100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 2,63 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000002605308100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 2,57 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000000552584100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 2,50 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000001330685100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 2,44 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000005820746100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 1,99 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000001072022100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 1,68 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000002173161100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 1,43 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000002603769100,деньги оседают на счёте,"Запросить снятия наличных, межбанковские и карточные операции","получил 1,19 млн ₸, исходящих внутрибанковских от 5 000 ₸ нет"
100000000331309100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000000437046100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008603629100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008547948100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000004400305100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008165763100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008477350100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000001857829100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000004156082100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008686313100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000008346837100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000003115284100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000005782781100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000007442518100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000003684369100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000005933757100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000006889963100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000003016635100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000004403675100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
100000002957787100,переводы ниже 5 000 ₸ не видны,Запросить полную выписку без порога суммы,"узел в топ-20, возможное дробление ниже порога не видно"
